amount,price,area,age,car,add,date,type,floor.height,subject,pattern,k
2450,66.5,36.85,44,0,臺北市中山區龍江路１２號二樓,111/10/21,華廈(10層含以下有電梯),二層/七層,房地(土地+建物),3房2廳2衛,1
856,70,12.22,43,0,臺北市中山區吉林路３６９號五樓之５,111/10/18,華廈(10層含以下有電梯),五層/七層,房地(土地+建物),1房1廳1衛,1
2900,77.8,37.26,37,0,臺北市中山區建國北路二段１０９號九樓,111/10/10,住宅大樓(11層含以上有電梯),九層/十二層,房地(土地+建物),3房2廳2衛,1
3768,93,40.51,46,0,臺北市中山區松江路８５巷７號三樓,111/10/10,華廈(10層含以下有電梯),三層/七層,房地(土地+建物),1房2廳2衛,1
680,77.9,8.73,34,0,臺北市中山區新生北路一段５４號十樓之４,111/10/08,住宅大樓(11層含以上有電梯),十層/十四層,房地(土地+建物),1房0廳1衛,1
1500,70.5,21.27,55,0,臺北市中山區松江路３７２巷２４號三樓,111/10/07,公寓(5樓含以下無電梯),三層/三層,房地(土地+建物),2房1廳1衛,1
2500,90.4,27.65,54,0,臺北市中山區松江路３６２巷８０號,111/10/03,公寓(5樓含以下無電梯),一層/四層,房地(土地+建物),2房1廳2衛,1
2520,78.7,32.01,45,0,臺北市中山區合江街１８０巷１５號六樓,111/09/29,華廈(10層含以下有電梯),六層/七層,房地(土地+建物),2房1廳1衛,1
2500,98.9,25.28,53,0,臺北市中山區錦州街１６４號,111/09/27,公寓(5樓含以下無電梯),"一層,騎樓/四層",房地(土地+建物),1房1廳1衛,1
2300,89.8,25.62,36,0,臺北市中山區遼寧街２１１號七樓之４,111/09/25,住宅大樓(11層含以上有電梯),七層/十五層,房地(土地+建物),2房2廳1衛,1
1605,69,23.25,46,0,臺北市中山區北安路６２１巷６弄１５號三樓,111/09/25,公寓(5樓含以下無電梯),三層/四層,房地(土地+建物),3房2廳1衛,1
1850,60.1,30.79,40,0,臺北市中山區新生北路三段７號三樓,111/09/24,住宅大樓(11層含以上有電梯),三層/十二層,房地(土地+建物),2房2廳1衛,1
1980,77.6,25.52,54,0,臺北市中山區四平街４０號二樓,111/09/23,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),2房2廳1衛,1
