add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,section,lon,lat
臺北市中山區林森北路６７巷１０３號七樓,111/10/26,5435,86.8,66.7,華廈(10層含以下有電梯),12,"七層,夾層/七層",房地(土地+建物)+車位,2房2廳2衛,380,住家用,中山區,121.5277916,25.0479735
臺北市中山區松江路１３２巷１３號三樓,111/10/24,450,64.3,6.99,公寓(5樓含以下無電梯),49,三層/四層,房地(土地+建物),4房2廳2衛,0,住家用,中山區,121.5316862,25.0530732
臺北市中山區民生東路二段１１５巷１２號七樓,111/10/22,3848,97,47.8,住宅大樓(11層含以上有電梯),1,七層/十三層,房地(土地+建物)+車位,3房2廳2衛,310,住家用,中山區,121.5314765,25.0586814
臺北市中山區龍江路１２號二樓,111/10/21,2450,66.5,36.85,華廈(10層含以下有電梯),44,二層/七層,房地(土地+建物),3房2廳2衛,0,住家用,中山區,121.5402717,25.0476271
臺北市中山區吉林路３６９號五樓之５,111/10/18,856,70,12.22,華廈(10層含以下有電梯),43,五層/七層,房地(土地+建物),1房1廳1衛,0,住家用,中山區,121.5304921,25.0649891
臺北市中山區林森北路５５７巷３號八樓之３,111/10/16,1828,82.2,30.04,華廈(10層含以下有電梯),12,八層/九層,房地(土地+建物)+車位,1房1廳1衛,220,住家用,中山區,121.526213,25.0644613
臺北市中山區南京東路三段８９巷２７弄１１號六樓,111/10/15,8100,123.8,77.72,住宅大樓(11層含以上有電梯),13,六層/十七層,房地(土地+建物)+車位,3房2廳2衛,700,住家用,中山區,121.5383389,25.0539883
臺北市中山區四平街１０７號五樓之５,111/10/15,1056,86,12.28,華廈(10層含以下有電梯),21,五層/十層,房地(土地+建物),1房1廳1衛,0,住家用,中山區,121.5358244,25.053761
臺北市中山區林森北路４８１號四樓之３,111/10/14,980,79.4,12.34,住宅大樓(11層含以上有電梯),20,四層/十四層,房地(土地+建物),2房1廳1衛,0,住家用,中山區,121.5257278,25.0611307
臺北市中山區林森北路５５７巷３號三樓之５,111/10/12,1950,59.5,32.8,華廈(10層含以下有電梯),12,三層/九層,房地(土地+建物)+車位,2房2廳1衛,0,住家用,中山區,121.526213,25.0644613
臺北市中山區天祥路８２號三樓之４,111/10/10,1303,95.3,13.67,住宅大樓(11層含以上有電梯),18,三層/十四層,房地(土地+建物),2房1廳1衛,0,住家用,中山區,121.5204401,25.0641184
臺北市中山區建國北路二段１０９號九樓,111/10/10,2900,77.8,37.26,住宅大樓(11層含以上有電梯),37,九層/十二層,房地(土地+建物),3房2廳2衛,0,住家用,中山區,121.5373922,25.0593576
臺北市中山區松江路８５巷７號三樓,111/10/10,3768,93,40.51,華廈(10層含以下有電梯),46,三層/七層,房地(土地+建物),1房2廳2衛,0,住家用,中山區,121.5341131,25.0503211
臺北市中山區中山北路一段８３巷１２號六樓之８,111/10/09,3300,80,41.25,住宅大樓(11層含以上有電梯),1,六層/十八層,房地(土地+建物)+車位,2房2廳1衛,0,住家用,中山區,121.5227706,25.0501667
臺北市中山區新生北路一段５４號十樓之４,111/10/08,680,77.9,8.73,住宅大樓(11層含以上有電梯),34,十層/十四層,房地(土地+建物),1房0廳1衛,0,住家用,中山區,121.5312508,25.0464093
臺北市中山區新生北路一段１０８之３號五樓之３,111/10/07,488,64.3,7.58,住宅大樓(11層含以上有電梯),44,五層/十二層,房地(土地+建物),未知,0,住家用,中山區,121.5282827,25.0495641
臺北市中山區松江路３７２巷２４號三樓,111/10/07,1500,70.5,21.27,公寓(5樓含以下無電梯),55,三層/三層,房地(土地+建物),2房1廳1衛,0,住家用,中山區,121.5320854,25.0630302
臺北市中山區建國北路二段１４７號十一樓之４,111/10/07,1296,60,21.6,住宅大樓(11層含以上有電梯),40,十一層/十四層,房地(土地+建物),未知,0,住家用,中山區,121.5375118,25.0616172
臺北市中山區建國北路二段１４７號十一樓之３,111/10/07,1254,60,20.91,住宅大樓(11層含以上有電梯),40,十一層/十四層,房地(土地+建物),未知,0,住家用,中山區,121.5375118,25.0616171
臺北市中山區林森北路１１９巷２號,111/10/05,30,6.6,4.55,公寓(5樓含以下無電梯),49,一層/四層,房地(土地+建物),4房2廳3衛,0,住家用,中山區,121.5253152,25.0506328
臺北市中山區林森北路８５巷１１號五樓,111/10/04,646,52.2,12.38,華廈(10層含以下有電梯),35,五層/五層,房地(土地+建物),1房1廳1衛,0,住家用,中山區,121.5255287,25.0497179
臺北市中山區松江路３６２巷８０號,111/10/03,2500,90.4,27.65,公寓(5樓含以下無電梯),54,一層/四層,房地(土地+建物),2房1廳2衛,0,住家用,中山區,121.5306502,25.0619236
臺北市中山區松江路３３０巷５３號二樓,111/10/03,1470,91.4,16.09,華廈(10層含以下有電梯),15,二層/九層,房地(土地+建物),1房1廳1衛,0,住家用,中山區,121.5311289,25.0612502
臺北市中山區新生北路二段６８巷８號十一樓之６,111/10/03,2600,97.8,38.02,住宅大樓(11層含以上有電梯),6,十一層/十二層,房地(土地+建物)+車位,2房1廳1衛,250,住家用,中山區,121.5268045,25.0566792
臺北市中山區新生北路二段１１９巷７號二樓,111/10/03,1200,29.3,40.97,公寓(5樓含以下無電梯),28,二層/五層,房地(土地+建物)+車位,3房1廳2衛,0,住家用,中山區,121.5283768,25.0590503
臺北市中山區市民大道三段１６９號十樓之５,111/10/02,1550,60.2,25.75,住宅大樓(11層含以上有電梯),14,十層/十三層,房地(土地+建物)+車位,2房1廳1衛,0,住家用,中山區,121.5405991,25.0448039
臺北市中山區中山北路一段８３巷１２號七樓之１,111/10/02,5000,95.9,52.13,住宅大樓(11層含以上有電梯),1,七層/十八層,房地(土地+建物),3房2廳2衛,0,住家用,中山區,121.5227706,25.0501667
臺北市中山區雙城街３２巷５號四樓之４,111/10/01,635,54.3,11.69,華廈(10層含以下有電梯),43,四層/六層,房地(土地+建物),1房1廳1衛,0,住家用,中山區,121.5236063,25.0662964
臺北市中山區雙城街３巷２號八樓之８,111/10/01,800,68.5,11.68,住宅大樓(11層含以上有電梯),27,八層/十五層,房地(土地+建物),1房1廳1衛,0,住家用,中山區,121.5244813,25.0632285
