add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市中正區重慶南路三段１號四樓之３,111/10/10,3250,65.1,49.95,住宅大樓(11層含以上有電梯),45,四層/十二層,房地(土地+建物),3房2廳2衛,0,住家用,121.515492,25.0296645
臺北市中正區惠安街７號六樓之６,111/10/07,1210,56.1,21.58,華廈(10層含以下有電梯),42,六層/七層,房地(土地+建物),3房2廳1衛,0,住家用,121.5074812,25.028335
臺北市中正區詔安街５４號二樓,111/10/07,1850,50,37.02,公寓(5樓含以下無電梯),46,"二層,陽臺/四層",房地(土地+建物),3房2廳2衛,0,住家用,121.5138176,25.0249511
臺北市中正區忠孝西路一段５０號十六樓之１６,111/10/04,2330,84,27.73,住宅大樓(11層含以上有電梯),32,十六層/二十七層,房地(土地+建物),0房2廳1衛,0,住家用,121.5158375,25.0462921
臺北市中正區和平西路一段５９號十二樓之１０,111/10/03,1532,125,12.26,住宅大樓(11層含以上有電梯),14,十二層/十四層,房地(土地+建物),0房1廳1衛,0,住家用,121.5194887,25.026712
臺北市中正區臨沂街７５巷２之７號二樓,111/10/03,2280,59.1,38.55,公寓(5樓含以下無電梯),52,二層/四層,房地(土地+建物),4房2廳2衛,0,住家用,121.5287699,25.0345975
臺北市中正區牯嶺街４４號三樓,111/10/02,1500,75.4,19.9,公寓(5樓含以下無電梯),45,三層/五層,房地(土地+建物),2房2廳1衛,0,住家用,121.5167923,25.0293721
臺北市中正區濟南路二段１７號五樓,111/10/02,3130,98.6,31.75,華廈(10層含以下有電梯),50,五層/六層,房地(土地+建物),3房2廳2衛,0,住家用,121.527769,25.0413101
臺北市中正區羅斯福路二段４８巷７號五樓,111/09/30,725,122.8,5.9,住宅大樓(11層含以上有電梯),16,五層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5212539,25.0275577
臺北市中正區南海路１０３號二樓之７,111/09/30,1200,56.2,21.37,華廈(10層含以下有電梯),42,二層/七層,房地(土地+建物),3房1廳1衛,0,住家用,121.5076462,25.027939
臺北市中正區中華路二段１５７號七樓,111/09/29,580,22.3,26.04,華廈(10層含以下有電梯),35,七層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5042348,25.0311326
臺北市中正區延平南路１９２巷４號二樓,111/09/27,1300,77.5,16.78,公寓(5樓含以下無電梯),51,二層/四層,房地(土地+建物),3房1廳1衛,0,住家用,121.5076253,25.0361584
臺北市中正區延平南路２１６巷３號四樓,111/09/26,2000,52.5,38.08,華廈(10層含以下有電梯),48,"四層,陽臺/七層",房地(土地+建物),3房2廳2衛,0,住家用,121.5071794,25.0343807
臺北市中正區重慶南路三段１８０號七樓之３,111/09/25,2600,53.4,48.68,住宅大樓(11層含以上有電梯),33,七層/十二層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.516559,25.022891
臺北市中正區和平西路一段１６１號三樓,111/09/24,1020,68.7,14.84,華廈(10層含以下有電梯),43,三層/七層,房地(土地+建物),1房0廳1衛,0,住家用,121.5149547,25.0277572
臺北市中正區忠孝東路一段８４巷２號三樓之１,111/09/23,3450,129.7,28.09,住宅大樓(11層含以上有電梯),1,三層/十二層,房地(土地+建物)+車位,1房2廳1衛,230,住家用,121.5241568,25.0442098
臺北市中正區忠孝西路一段５０號十六樓之３４,111/09/22,1188,81.7,14.55,住宅大樓(11層含以上有電梯),32,十六層/二十七層,房地(土地+建物),0房1廳1衛,0,住家用,121.51583,25.046222
臺北市中正區臨沂街１９巷１９號二樓,111/09/21,3850,85.2,45.18,華廈(10層含以下有電梯),10,二層/五層,房地(土地+建物)+車位,2房2廳1衛,0,住家用,121.5312152,25.0418869
