add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat,section
臺北市內湖區內湖路一段７３７巷３３弄７號二樓,111/10/20,1850,50.6,36.56,公寓(5樓含以下無電梯),42,二層/五層,房地(土地+建物),3房1廳2衛,0,住家用,121.579143,25.0795004,內湖區
臺北市內湖區金湖路６４巷６號,111/10/18,1800,55.4,32.47,公寓(5樓含以下無電梯),41,一層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.597301,25.0822806,內湖區
臺北市內湖區新豐街１０８號二樓,111/10/13,4200,76,55.26,華廈(10層含以下有電梯),13,二層/十層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5848722,25.0608522,內湖區
臺北市內湖區南京東路六段１３３號八樓,111/10/11,450,45.7,9.84,華廈(10層含以下有電梯),25,八層/九層,房地(土地+建物),3房1廳2衛,0,住家用,121.5784923,25.0559614,內湖區
臺北市內湖區內湖路三段６０巷１２弄７３號九樓之１,111/10/10,2300,46.6,49.38,住宅大樓(11層含以上有電梯),30,九層/十六層,房地(土地+建物)+車位,2房2廳2衛,0,住家用,121.5916477,25.089635,內湖區
臺北市內湖區金湖路４０１巷３２號十一樓,111/10/10,3580,95.1,48.42,住宅大樓(11層含以上有電梯),23,十一層/十四層,房地(土地+建物)+車位,3房2廳2衛,250,住家用,121.6041809,25.0726909,內湖區
臺北市內湖區東湖路１１３巷９５弄１３號六樓,111/10/10,680,26.5,25.62,華廈(10層含以下有電梯),29,六層/七層,房地(土地+建物)+車位,2房2廳1衛,150,住家用,121.6151034,25.071801,內湖區
臺北市內湖區金湖路９５號八樓,111/10/08,4655,73.3,63.51,住宅大樓(11層含以上有電梯),12,八層/十四層,房地(土地+建物)+車位,4房2廳2衛,280,住家用,121.5976976,25.0809745,內湖區
臺北市內湖區內湖路三段５巷２號二樓,111/10/07,1900,63.3,30.03,公寓(5樓含以下無電梯),35,二層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5926351,25.0842369,內湖區
臺北市內湖區金龍路２１５號五樓之２,111/10/06,1870,67,27.9,華廈(10層含以下有電梯),33,五層/十層,房地(土地+建物),2房2廳2衛,0,住家用,121.5871697,25.0882186,內湖區
臺北市內湖區安康路３３７號四樓,111/10/05,720,24.6,29.3,公寓(5樓含以下無電梯),46,四層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.6155221,25.0678145,內湖區
臺北市內湖區康樂街１３１巷１２號六樓,111/10/04,2250,47,47.9,華廈(10層含以下有電梯),29,六層/九層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.6198805,25.0741102,內湖區
臺北市內湖區瑞光路１３２巷７９號二樓,111/10/04,1645,65,25.31,公寓(5樓含以下無電梯),26,二層/三層,房地(土地+建物),2房2廳1衛,0,住家用,121.578305,25.0710699,內湖區
臺北市內湖區內湖路一段２１７巷５７號,111/10/03,1430,43.6,32.8,華廈(10層含以下有電梯),39,一層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.564328,25.0838655,內湖區
臺北市內湖區東湖路１１３巷４９弄２７號五樓之２,111/10/03,2420,50.2,48.19,華廈(10層含以下有電梯),27,五層/八層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.6151945,25.0700302,內湖區
臺北市內湖區康樂街１３６巷３０弄６９號七樓,111/10/03,1318,51.6,25.53,住宅大樓(11層含以上有電梯),26,七層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.6176448,25.0710717,內湖區
臺北市內湖區江南街７１巷９３弄１９號六樓,111/10/03,1780,52.4,33.99,華廈(10層含以下有電梯),39,六層/七層,房地(土地+建物),3房2廳1衛,0,住家用,121.5798,25.0746629,內湖區
臺北市內湖區康寧路三段２４５巷２０號四樓,111/10/03,1930,44,43.84,公寓(5樓含以下無電梯),37,四層/五層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.612035,25.0667409,內湖區
臺北市內湖區康寧路三段７５巷１７５弄２之５號二樓,111/10/02,2210,59.1,37.37,華廈(10層含以下有電梯),16,二層/五層,房地(土地+建物)+車位,2房2廳1衛,250,住家用,121.611571,25.0772234,內湖區
臺北市內湖區金龍路２２２巷４號,111/10/02,2328,57.9,40.2,住宅大樓(11層含以上有電梯),29,一層/十一層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5862395,25.0877936,內湖區
臺北市內湖區大湖山莊街１７６巷１８號三樓之１,111/10/02,3280,75.2,47.51,住宅大樓(11層含以上有電梯),14,三層/十四層,房地(土地+建物)+車位,3房2廳2衛,250,住家用,121.599138,25.0877595,內湖區
臺北市內湖區康樂街１１１巷１６號五樓,111/10/02,1560,46.9,33.28,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),2房2廳2衛,0,住家用,121.6200813,25.0707029,內湖區
臺北市內湖區港墘路１２７巷１２號三樓,111/10/01,3550,85.3,50.72,住宅大樓(11層含以上有電梯),25,"三層,電梯樓梯間/十五層",房地(土地+建物)+車位,3房2廳2衛,250,住家用,121.5770085,25.0778635,內湖區
臺北市內湖區成功路三段１７４巷２０號四樓,111/09/30,1438,50.2,28.67,公寓(5樓含以下無電梯),44,四層/四層,房地(土地+建物),4房2廳1衛,0,住家用,121.5903856,25.0814295,內湖區
臺北市內湖區文德路２１０巷３０弄１０２號四樓之１,111/09/30,4350,63.6,68.38,住宅大樓(11層含以上有電梯),20,四層/十四層,房地(土地+建物)+車位,4房2廳2衛,0,住家用,121.5852114,25.0773053,內湖區
臺北市內湖區星雲街１２７號四樓之１,111/09/30,3920,84.5,46.37,住宅大樓(11層含以上有電梯),18,四層/十四層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5957156,25.0806999,內湖區
臺北市內湖區內湖路三段６０巷１２弄７１號六樓之１,111/09/29,2760,47.1,58.57,住宅大樓(11層含以上有電梯),30,六層/十六層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.591778,25.0890964,內湖區
臺北市內湖區東湖路７巷４９號七樓,111/09/29,2928,45.7,64.11,華廈(10層含以下有電梯),33,"七層,八層,九層/九層",房地(土地+建物),5房2廳4衛,0,住家用,121.612937,25.069597,內湖區
臺北市內湖區東湖路１０６巷９弄２８號四樓,111/09/29,1174,41.2,28.49,公寓(5樓含以下無電梯),40,四層/五層,房地(土地+建物),3房2廳1衛,0,住家用,121.6131546,25.0678036,內湖區
臺北市內湖區內湖路一段２８５巷２９號二樓,111/09/28,1000,24,41.62,公寓(5樓含以下無電梯),41,二層/五層,房地(土地+建物),4房2廳2衛,0,住家用,121.5669851,25.083519,內湖區
臺北市內湖區港華街５１巷１弄１５號五樓,111/09/26,1400,46.9,29.83,公寓(5樓含以下無電梯),41,五層/五層,房地(土地+建物),4房2廳1衛,0,住家用,121.5764367,25.0830116,內湖區
臺北市內湖區內湖路三段３４３巷２弄１１號二樓,111/09/26,1625,55.5,29.3,公寓(5樓含以下無電梯),43,二層/五層,房地(土地+建物),2房2廳2衛,0,住家用,121.584876,25.0886686,內湖區
臺北市內湖區內湖路三段２４０號三樓,111/09/26,2050,58.9,34.79,住宅大樓(11層含以上有電梯),9,三層/十四層,房地(土地+建物)+車位,2房1廳1衛,0,住家用,121.5881006,25.0887915,內湖區
臺北市內湖區江南街７１巷１６弄５８號二樓,111/09/26,1750,58.1,30.12,公寓(5樓含以下無電梯),41,二層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5781428,25.0758435,內湖區
臺北市內湖區民權東路六段２８０巷６８號二樓,111/09/25,1920,56.1,34.24,公寓(5樓含以下無電梯),34,二層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.6080823,25.0702583,內湖區
臺北市內湖區康樂街１６２巷１７號五樓,111/09/25,1258,29.3,42.89,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),4房2廳1衛,0,住家用,121.6187818,25.0730713,內湖區
臺北市內湖區內湖路一段６３９號五樓,111/09/25,1928,65.8,29.29,公寓(5樓含以下無電梯),44,五層/五層,房地(土地+建物),8房2廳7衛,0,住家用,121.5748752,25.0804421,內湖區
臺北市內湖區環山路一段５９巷３０弄１號三樓,111/09/24,1600,57.9,27.65,公寓(5樓含以下無電梯),44,三層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.5672018,25.0851774,內湖區
臺北市內湖區內湖路三段６０巷３９號十三樓,111/09/24,5900,67.9,86.92,住宅大樓(11層含以上有電梯),5,十三層/十九層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5932421,25.0884256,內湖區
臺北市內湖區安泰街２５號四樓,111/09/23,570.1,17,33.58,公寓(5樓含以下無電梯),41,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.6185672,25.0735846,內湖區
臺北市內湖區陽光街１６１巷１２之２７號,111/09/23,970,85.1,11.4,華廈(10層含以下有電梯),3,一層/五層,房地(土地+建物),1房1廳1衛,0,住家用,121.5854815,25.0743836,內湖區
臺北市內湖區新明路３８０巷３弄１７號五樓,111/09/22,1200,38.9,30.85,公寓(5樓含以下無電梯),42,五層/五層,房地(土地+建物),3房2廳1衛,0,住家用,121.580759,25.055498,內湖區
臺北市內湖區康寧路一段２９０號十一樓之５,111/09/22,1068,74.3,14.38,住宅大樓(11層含以上有電梯),31,十一層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5978496,25.0785352,內湖區
臺北市內湖區成功路二段３１２巷２３號五樓,111/09/22,1400,45.5,30.77,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5894372,25.0673273,內湖區
臺北市內湖區環山路三段１６巷１弄６號五樓,111/09/21,1880,55.1,34.14,公寓(5樓含以下無電梯),42,五層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.579365,25.08514,內湖區
臺北市內湖區內湖路一段３３１之１號四樓,111/09/20,1850,60,30.83,公寓(5樓含以下無電梯),37,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5683129,25.0823131,內湖區
臺北市內湖區康樂街１２５巷６之１號五樓,111/09/19,1300,46.5,27.96,公寓(5樓含以下無電梯),41,五層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.6198801,25.0734678,內湖區
臺北市內湖區星雲街１６６號七樓之１,111/09/19,2550,69.1,36.93,住宅大樓(11層含以上有電梯),27,七層/十六層,房地(土地+建物)+車位,2房1廳2衛,250,住家用,121.5963804,25.0804206,內湖區
臺北市內湖區康寧路三段９９巷１０弄８號四樓,111/09/19,1560,53.5,29.14,公寓(5樓含以下無電梯),37,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.6107567,25.0723026,內湖區
臺北市內湖區新富街７６號八樓,111/09/19,5308,93.4,66.55,住宅大樓(11層含以上有電梯),8,八層/十四層,房地(土地+建物)+車位,2房2廳2衛,250,住家用,121.5840258,25.0598153,內湖區
臺北市內湖區行善路２５巷２號五樓,111/09/18,2380,61.6,38.66,華廈(10層含以下有電梯),24,五層/九層,房地(土地+建物),3房2廳2衛,0,住家用,121.5755063,25.0560547,內湖區
臺北市內湖區康寧路三段１６５巷２５弄１５號三樓,111/09/18,1650,57.2,28.84,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.6120115,25.0720201,內湖區
臺北市內湖區金湖路３７６號六樓之１,111/09/18,1300,88,14.77,華廈(10層含以下有電梯),23,六層/十層,房地(土地+建物),1房1廳1衛,0,住家用,121.6046559,25.0736343,內湖區
臺北市內湖區康樂街７２巷１７弄８７號三樓,111/09/18,1432,50.6,28.31,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.6169664,25.0711792,內湖區
臺北市內湖區民權東路六段１５０之１號九樓之６,111/09/18,1138,77.4,14.7,住宅大樓(11層含以上有電梯),14,九層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5903123,25.0683745,內湖區
臺北市內湖區內湖路三段３２６巷３弄５之１號五樓,111/09/18,1130,42.7,26.46,公寓(5樓含以下無電梯),41,五層/五層,房地(土地+建物),3房2廳1衛,0,住家用,121.5839415,25.0897419,內湖區
臺北市內湖區文德路２０８巷４０號八樓之１,111/09/18,3960,67.1,59.01,住宅大樓(11層含以上有電梯),28,八層/十一層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.583362,25.076983,內湖區
臺北市內湖區內湖路一段４１１巷１０６號八樓,111/09/18,1950,72,27.08,華廈(10層含以下有電梯),16,八層/八層,房地(土地+建物)+車位,4房2廳2衛,100,住家用,121.5723167,25.0850107,內湖區
臺北市內湖區星雲街１６１巷２號十二樓,111/09/17,3070,71.4,43.01,住宅大樓(11層含以上有電梯),17,十二層/十四層,房地(土地+建物)+車位,2房2廳2衛,0,住家用,121.5962395,25.0816332,內湖區
臺北市內湖區民權東路六段２９６巷９３號五樓,111/09/17,1980,56.4,35.11,公寓(5樓含以下無電梯),34,五層/五層,房地(土地+建物),5房3廳3衛,0,住家用,121.6082033,25.0704979,內湖區
臺北市內湖區內湖路一段２８５巷６９弄１０號,111/09/16,6880,56.7,121.26,華廈(10層含以下有電梯),30,"一層,地下一層/七層",房地(土地+建物)+車位,6房2廳4衛,0,住家用,121.567616,25.0850632,內湖區
臺北市內湖區東湖路１６０巷１０弄２７號五樓,111/09/16,1390,51.8,26.83,公寓(5樓含以下無電梯),42,五層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.6165298,25.0673027,內湖區
臺北市內湖區民權東路六段１８０巷７７弄１１號二樓,111/09/16,3300,74.5,44.27,華廈(10層含以下有電梯),9,二層/五層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5933368,25.0661889,內湖區
臺北市內湖區金湖路３８０號十一樓之１,111/09/16,5850,64.6,90.52,住宅大樓(11層含以上有電梯),23,十一層/十三層,房地(土地+建物)+車位,5房2廳3衛,500,住家用,121.6048206,25.0736973,內湖區
臺北市內湖區金龍路２３７號,111/09/15,2597,47.4,61.57,住宅大樓(11層含以上有電梯),26,一層/十五層,房地(土地+建物)+車位,2房2廳2衛,200,住家用,121.5873911,25.0889024,內湖區
臺北市內湖區成功路五段４２０巷１５號五樓之３,111/09/14,3490,75.5,46.22,住宅大樓(11層含以上有電梯),25,五層/十一層,房地(土地+建物)+車位,2房2廳1衛,0,住家用,121.6081045,25.0752954,內湖區
臺北市內湖區成功路二段３１２巷３５號二樓,111/09/14,1625,52,31.25,公寓(5樓含以下無電梯),37,二層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5889051,25.067336,內湖區
臺北市內湖區內湖路一段６２９巷１０１弄１３號,111/09/14,950,29.3,32.4,公寓(5樓含以下無電梯),38,一層/五層,房地(土地+建物),1房2廳2衛,0,住家用,121.5769491,25.0814261,內湖區
