"add","date","amount","price","area","type","age","floor.height","subject","pattern","car","use","section","lon","lat"
"臺北市北投區公舘路２９２巷１弄７號二樓","111/10/28",1400,42.1,33.29,"公寓(5樓含以下無電梯)",41,"二層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5066168,25.1248946
"臺北市北投區崇仁路一段７６號三樓","111/10/27",1200,43.1,27.81,"公寓(5樓含以下無電梯)",44,"三層/四層","房地(土地+建物)","3房1廳1衛","0","住家用","北投區",121.5014599,25.1262555
"臺北市北投區新民路５３之１號八樓之６","111/10/26",220,60.8,3.62,"華廈(10層含以下有電梯)",15,"八層/十層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5105407,25.1401413
"臺北市北投區中央北路二段３５０巷６８號六樓","111/10/21",2830,48.6,58.19,"住宅大樓(11層含以上有電梯)",7,"六層/十四層","房地(土地+建物)+車位","3房2廳2衛","0","住家用","北投區",121.4884361,25.1395778
"臺北市北投區中央北路二段３５０巷９２號十一樓","111/10/18",2878.9,49.5,58.19,"住宅大樓(11層含以上有電梯)",7,"十一層/十四層","房地(土地+建物)+車位","3房2廳2衛","0","住家用","北投區",121.4886382,25.1386694
"臺北市北投區西安街二段２６７號三樓之５","111/10/18",749,90,8.32,"華廈(10層含以下有電梯)",13,"三層/七層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5069934,25.1204169
"臺北市北投區義方街１２號六樓","111/10/16",1960,43.2,45.38,"華廈(10層含以下有電梯)",38,"六層/七層","房地(土地+建物)","4房2廳2衛","0","住家用","北投區",121.5025728,25.1409252
"臺北市北投區公舘路１６１巷１號六樓","111/10/13",2700,52.6,57.02,"華廈(10層含以下有電梯)",7,"六層/七層","房地(土地+建物)+車位","3房2廳2衛","170","住家用","北投區",121.5063462,25.1291524
"臺北市北投區明德路１５０巷１０號四樓","111/10/13",880,38.9,22.62,"公寓(5樓含以下無電梯)",48,"四層,陽臺/四層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.5210233,25.1103297
"臺北市北投區泉源路４８號八樓之３","111/10/12",850,58.5,14.52,"住宅大樓(11層含以上有電梯)",22,"八層/十三層","房地(土地+建物)","1房2廳1衛","0","住家用","北投區",121.509108,25.140941
"臺北市北投區承德路七段１６２號四樓之２","111/10/11",4908,73.5,74.17,"住宅大樓(11層含以上有電梯)",8,"四層/十三層","房地(土地+建物)+車位","3房2廳2衛","270","住家用","北投區",121.5089042,25.1132536
"臺北市北投區石牌路二段３４８巷１５號四樓之１","111/10/11",1245,57.4,21.7,"華廈(10層含以下有電梯)",29,"四層/六層","房地(土地+建物)+車位","1房1廳1衛","0","住家用","北投區",121.5251165,25.1225913
"臺北市北投區溫泉路１０７號","111/10/11",980,0,50.51,"透天厝",51,"全/三層","房地(土地+建物)","5房3廳4衛","0","住家用","北投區",121.5122098,25.1364605
"臺北市北投區光明路１６８號十樓","111/10/09",1545,71,21.77,"住宅大樓(11層含以上有電梯)",13,"十層/十一層","房地(土地+建物)","2房2廳1衛","0","住家用","北投區",121.502946,25.1354063
"臺北市北投區溫泉路６８巷２０之１號五樓","111/10/09",1200,44.5,26.98,"公寓(5樓含以下無電梯)",41,"五層/五層","房地(土地+建物)","3房2廳1衛","0","住家用","北投區",121.506589,25.1345129
"臺北市北投區自強街１２０號","111/10/08",1800,67.9,26.52,"公寓(5樓含以下無電梯)",50,"三層/三層","房地(土地+建物)","4房2廳2衛","0","住家用","北投區",121.5156129,25.1107879
"臺北市北投區新民路６２巷１５弄１號四樓","111/10/08",1420,45.7,31.05,"華廈(10層含以下有電梯)",6,"四層/五層","房地(土地+建物)+車位","2房1廳1衛","0","住家用","北投區",121.5110991,25.1394123
"臺北市北投區中和街３９８巷５弄２號五樓之８","111/10/06",480,45.4,10.58,"華廈(10層含以下有電梯)",27,"五層/十層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.4986448,25.1440241
"臺北市北投區自強街５巷１０２弄１２號二樓","111/10/06",875,37.9,23.1,"公寓(5樓含以下無電梯)",52,"二層/三層","房地(土地+建物)","3房1廳1衛","0","住家用","北投區",121.5116473,25.1121907
"臺北市北投區中和街４５８巷４４弄６號","111/10/06",1710,0,21.33,"透天厝",49,"全/二層","房地(土地+建物)","3房2廳3衛","0","住家用","北投區",121.4963318,25.1461121
"臺北市北投區立農街二段２５９號三樓","111/10/05",1900,56.9,33.41,"公寓(5樓含以下無電梯)",40,"三層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5144748,25.1189597
"臺北市北投區中央北路四段５４１巷３號十三樓","111/10/05",2230,72,41.07,"住宅大樓(11層含以上有電梯)",1,"十三層/十八層","房地(土地+建物)+車位","2房1廳1衛","180","住家用","北投區",121.467968,25.1276186
"臺北市北投區懷德街７８巷１３號三樓","111/10/04",2880,64.4,44.73,"公寓(5樓含以下無電梯)",44,"三層/五層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5206986,25.1135066
"臺北市北投區中和街２７８巷９號","111/10/04",1130,0,26.14,"透天厝",55,"全/--","房地(土地+建物)","2房0廳2衛","0","住家用","北投區",121.500753,25.140623
"臺北市北投區西安街二段２６３號七樓","111/10/03",2106,75,28.08,"住宅大樓(11層含以上有電梯)",1,"七層/十二層","房地(土地+建物)","2房2廳1衛","0","住家用","北投區",121.507423,25.1203834
"臺北市北投區明德路３３３巷２９號三樓","111/10/03",1860,51.3,36.24,"公寓(5樓含以下無電梯)",53,"三層/四層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5186435,25.1164019
"臺北市北投區富貴一路６之１號","111/10/03",5300,70.2,75.48,"華廈(10層含以下有電梯)",34,"一層/九層","房地(土地+建物)+車位","4房2廳2衛","0","住家用","北投區",121.5240826,25.1141785
