add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat,section
臺北市士林區中山北路六段２９０巷４２號二樓,111/10/24,2626,60,43.77,公寓(5樓含以下無電梯),40,二層/五層,房地(土地+建物),4房2廳2衛,0,住家用,121.526991,25.108717,士林區
臺北市士林區天母東路８巷２７號二樓之８,111/10/23,1313.2,20.9,62.96,華廈(10層含以下有電梯),46,二層/七層,房地(土地+建物),5房2廳2衛,0,住家用,121.5319108,25.1169715,士林區
臺北市士林區承德路四段８８號十三樓之６,111/10/21,3200,72.3,44.23,住宅大樓(11層含以上有電梯),1,十三層/十五層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5229032,25.0825495,士林區
臺北市士林區通河西街一段９１號,111/10/12,1800,70.6,25.48,公寓(5樓含以下無電梯),53,一層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.5123998,25.0847347,士林區
臺北市士林區福德路３１巷１１號八樓,111/10/12,2270,67.3,33.73,華廈(10層含以下有電梯),11,八層/八層,房地(土地+建物)+車位,2房2廳1衛,260,住家用,121.5231691,25.0901823,士林區
臺北市士林區福德路３１巷１１號八樓之１,111/10/07,1010,99.3,10.17,華廈(10層含以下有電梯),11,八層/八層,房地(土地+建物),1房2廳1衛,0,住家用,121.5231691,25.0901823,士林區
臺北市士林區雨聲街４巷１４號,111/10/06,2090,64.5,32.43,公寓(5樓含以下無電梯),45,一層/二層,房地(土地+建物),3房2廳2衛,0,住家用,121.5302853,25.1009911,士林區
臺北市士林區中山北路七段８１巷３０號五樓之１,111/10/03,1200,53.3,22.51,華廈(10層含以下有電梯),43,五層/七層,房地(土地+建物),2房2廳1衛,0,住家用,121.5292504,25.122334,士林區
臺北市士林區延平北路六段１１６巷２弄８號三樓,111/10/03,750,33.1,22.68,公寓(5樓含以下無電梯),41,三層/四層,房地(土地+建物),3房1廳2衛,0,住家用,121.5081975,25.0893014,士林區
臺北市士林區幸福街５巷３２號二樓之２,111/10/02,2190,65,33.71,華廈(10層含以下有電梯),12,二層/八層,房地(土地+建物)+車位,2房2廳1衛,0,住家用,121.5282237,25.0972319,士林區
臺北市士林區天母東路８巷２５號四樓之１,111/10/02,1850,67.8,27.27,華廈(10層含以下有電梯),46,"四層,陽臺/七層",房地(土地+建物),2房2廳1衛,0,住家用,121.5319647,25.1170816,士林區
臺北市士林區通河西街二段１０８巷７號三樓,111/09/30,950,39.4,24.14,公寓(5樓含以下無電梯),47,三層/四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5078747,25.0924032,士林區
臺北市士林區芝玉路一段２００號十七樓,111/09/30,4600,55.8,82.5,住宅大樓(11層含以上有電梯),27,十七層/十九層,房地(土地+建物),3房2廳2衛,0,住家用,121.533781,25.1079649,士林區
臺北市士林區中山北路七段３８巷１３號四樓,111/09/29,6950,97.4,80.82,住宅大樓(11層含以上有電梯),14,四層/十二層,房地(土地+建物)+車位,4房2廳2衛,380,住家用,121.5316377,25.1200354,士林區
臺北市士林區基河路１５號八樓,111/09/29,7288,74,113.86,住宅大樓(11層含以上有電梯),7,八層/二十一層,房地(土地+建物)+車位,3房2廳3衛,300,住家用,121.5246087,25.0870065,士林區
臺北市士林區天母北路４４巷１２號,111/09/29,20000,0,88.35,透天厝,62,全/二層,房地(土地+建物),4房2廳2衛,0,住家用,121.5260958,25.1209957,士林區
臺北市士林區天母東路８巷２５號七樓之９,111/09/27,1040,79.4,13.1,華廈(10層含以下有電梯),46,七層/七層,房地(土地+建物),2房2廳1衛,0,住家用,121.5318227,25.1170915,士林區
臺北市士林區德行東路３３１巷５０弄３號三樓,111/09/27,1720,57,30.19,公寓(5樓含以下無電梯),43,三層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5383873,25.1123995,士林區
