add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat,section
臺北市大安區永康街３３巷１１號一樓,111/10/26,1280,69.8,18.33,公寓(5樓含以下無電梯),50,一層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.5297892,25.0308749,大安區
臺北市大安區忠孝東路四段５２號三樓,111/10/25,7200,124.9,57.66,住宅大樓(11層含以上有電梯),45,三層/十二層,房地(土地+建物),3房1廳2衛,0,住家用,121.5450822,25.0415022,大安區
臺北市大安區忠孝東路四段２２３巷４３號二樓,111/10/24,3800,96.5,39.39,華廈(10層含以下有電梯),45,二層/七層,房地(土地+建物),4房2廳2衛,0,住家用,121.5528829,25.0427874,大安區
臺北市大安區敦化南路二段４６號八樓之１１,111/10/24,700,28.3,24.7,住宅大樓(11層含以上有電梯),47,"八層,陽臺/十六層",房地(土地+建物),2房1廳1衛,0,住家用,121.5483739,25.0312217,大安區
臺北市大安區信義路三段１３４巷７８號十三樓,111/10/17,250,42.1,5.93,住宅大樓(11層含以上有電梯),37,十三層/十八層,房地(土地+建物),3房2廳1衛,0,住家用,121.5387774,25.0296469,大安區
臺北市大安區忠孝東路四段７６號十樓之７,111/10/14,1120,85.4,13.11,住宅大樓(11層含以上有電梯),46,十層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5457633,25.0413907,大安區
臺北市大安區安和路一段１１２巷２５號二樓,111/10/11,4188,78.9,53.05,華廈(10層含以下有電梯),40,二層/七層,房地(土地+建物),4房2廳2衛,0,住家用,121.5504668,25.0340356,大安區
臺北市大安區光復南路３９０號十二樓之３,111/10/10,3750,91.8,40.83,住宅大樓(11層含以上有電梯),44,十二層/十二層,房地(土地+建物),3房2廳2衛,0,住家用,121.5573596,25.0371515,大安區
臺北市大安區忠孝東路四段７７巷１７號四樓,111/10/08,3250,129.5,25.1,華廈(10層含以下有電梯),6,四層/十層,房地(土地+建物)+車位,1房1廳1衛,0,住家用,121.5472636,25.0422025,大安區
臺北市大安區信義路三段１０５號三樓之７,111/10/08,1970,103.9,18.96,住宅大樓(11層含以上有電梯),16,三層/十四層,房地(土地+建物)+車位,1房1廳1衛,0,住家用,121.5388727,25.0337041,大安區
臺北市大安區仁愛路四段２３０號九樓之３,111/10/08,2750,115.9,23.73,住宅大樓(11層含以上有電梯),44,九層/十二層,房地(土地+建物),3房2廳1衛,0,住家用,121.5521799,25.037511,大安區
臺北市大安區仁愛路四段２３２號四樓之２,111/10/08,2997.5,111.8,26.8,住宅大樓(11層含以上有電梯),44,四層/十二層,房地(土地+建物),2房2廳2衛,0,住家用,121.5522583,25.0374916,大安區
臺北市大安區永康街４巷２之２號,111/10/06,2120,96.3,22.01,公寓(5樓含以下無電梯),53,三層/四層,房地(土地+建物),2房1廳1衛,0,住家用,121.529707,25.032871,大安區
臺北市大安區建國南路二段３７號五樓,111/10/04,252.9,67.4,3.75,公寓(5樓含以下無電梯),46,五層/五層,房地(土地+建物),4房2廳1衛,0,住家用,121.5382009,25.0321649,大安區
臺北市大安區基隆路二段１８８號六樓之１１,111/10/02,1240,100.7,14.7,住宅大樓(11層含以上有電梯),14,六層/十四層,房地(土地+建物)+車位,1房1廳1衛,180,住家用,121.5529367,25.0249263,大安區
臺北市大安區安東街３１號三樓之７,111/10/02,850,81.6,10.42,華廈(10層含以下有電梯),26,三層/五層,房地(土地+建物),1房1廳1衛,0,住家用,121.5426582,25.0442506,大安區
臺北市大安區基隆路二段２７３號六樓,111/10/01,1200,71.6,16.77,華廈(10層含以下有電梯),27,六層/八層,房地(土地+建物)+車位,2房1廳1衛,0,住家用,121.5500543,25.0218397,大安區
臺北市大安區敦化南路一段３２９巷７號四樓,111/09/30,2000,89.7,22.3,公寓(5樓含以下無電梯),37,四層/五層,房地(土地+建物),2房1廳1衛,0,住家用,121.5498382,25.0342434,大安區
臺北市大安區永康街７５巷８號七樓,111/09/30,2007,139.5,14.39,華廈(10層含以下有電梯),15,七層/七層,房地(土地+建物),0房1廳1衛,0,住家用,121.530109,25.028824,大安區
臺北市大安區敦化南路一段１８７巷３７號三樓之７,111/09/30,1725,106.2,16.25,華廈(10層含以下有電梯),27,三層/八層,房地(土地+建物),1房1廳1衛,0,住家用,121.5512154,25.0426477,大安區
臺北市大安區基隆路二段１８２巷１１號十二樓,111/09/30,869,67.2,12.93,住宅大樓(11層含以上有電梯),30,十二層/十二層,房地(土地+建物),3房2廳2衛,0,住家用,121.5529229,25.0255167,大安區
臺北市大安區安和路一段９０巷３２號四樓,111/09/29,3750,94.6,39.63,華廈(10層含以下有電梯),42,四層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5505008,25.0346318,大安區
臺北市大安區潮州街３５號六樓,111/09/29,2100,103,20.39,華廈(10層含以下有電梯),34,六層/七層,房地(土地+建物),2房1廳1衛,0,住家用,121.5233113,25.0294825,大安區
臺北市大安區復興南路一段１２８號七樓之３,111/09/29,1736,120,16.58,華廈(10層含以下有電梯),16,七層/十層,房地(土地+建物)+車位,1房0廳1衛,190,住家用,121.5433638,25.0429694,大安區
臺北市大安區瑞安街２８６號二樓,111/09/27,2668,81.9,32.57,公寓(5樓含以下無電梯),50,二層/四層,房地(土地+建物),3房2廳2衛,0,住家用,121.5389264,25.0259161,大安區
