add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat,section
臺北市文山區景興路１９５號十二樓之３,111/10/18,1130,66.4,17.01,住宅大樓(11層含以上有電梯),28,十二層/十八層,房地(土地+建物),1房1廳1衛,0,住家用,121.5441099,24.9920557,文山區
臺北市文山區政大一街２８７號,111/10/18,2680,68.5,45.47,華廈(10層含以下有電梯),8,一層/五層,房地(土地+建物)+車位,2房2廳2衛,250,住家用,121.5853208,24.9867229,文山區
臺北市文山區仙岩路２２巷２７號,111/10/16,1405,60,23.4,住宅大樓(11層含以上有電梯),28,一層/十五層,房地(土地+建物),2房2廳1衛,0,住家用,121.5500443,24.9987951,文山區
臺北市文山區木新路二段１４３號四樓,111/10/15,1230,38.6,31.83,公寓(5樓含以下無電梯),38,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.56897,24.98382,文山區
臺北市文山區興隆路二段２２５號二樓,111/10/12,1400,48.7,28.76,公寓(5樓含以下無電梯),49,"二層,陽臺/四層",房地(土地+建物),4房2廳1衛,0,住家用,121.5503994,25.0013649,文山區
臺北市文山區景興路２８２巷９號十一樓之５,111/10/10,738,71.7,10.3,住宅大樓(11層含以上有電梯),15,十一層/十三層,房地(土地+建物),1房1廳1衛,0,住家用,121.5416515,24.989685,文山區
臺北市文山區興隆路三段１８５巷９弄４號四樓,111/10/10,900,34.3,26.24,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.562087,24.9955941,文山區
臺北市文山區木新路三段９５巷７弄９號五樓,111/10/09,3400,60.5,65.15,住宅大樓(11層含以上有電梯),13,五層/十三層,房地(土地+建物)+車位,3房2廳2衛,250,住家用,121.5631453,24.9816228,文山區
臺北市文山區景豐街５０號六樓之１,111/10/06,915,61.8,14.8,華廈(10層含以下有電梯),28,六層/九層,房地(土地+建物),1房1廳1衛,0,住家用,121.5459703,25.0003895,文山區
臺北市文山區興隆路一段９３號二樓,111/10/05,1100,38.8,28.38,公寓(5樓含以下無電梯),48,"二層,陽臺/四層",房地(土地+建物),3房2廳1衛,0,住家用,121.5415732,25.002908,文山區
臺北市文山區萬安街３７巷１７弄２號五樓,111/10/04,1370,41,33.43,公寓(5樓含以下無電梯),34,五層/五層,房地(土地+建物),4房3廳3衛,0,住家用,121.571565,25.0003964,文山區
臺北市文山區和平東路四段６６巷１１號十五樓,111/10/04,4250,43.2,98.36,住宅大樓(11層含以上有電梯),25,十五層/十六層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5646427,25.0054305,文山區
臺北市文山區辛亥路四段７７巷３９號十樓,111/10/04,2580,52.8,48.87,住宅大樓(11層含以上有電梯),26,十層/十五層,房地(土地+建物)+車位,2房2廳2衛,200,住家用,121.560749,25.0080009,文山區
臺北市文山區木柵路三段１７９號五樓,111/10/04,4300,43.1,99.79,住宅大樓(11層含以上有電梯),13,五層/二十四層,房地(土地+建物)+車位,3房2廳3衛,0,住家用,121.569526,24.989907,文山區
臺北市文山區興隆路四段６６巷１２號,111/10/03,520,19.7,26.35,公寓(5樓含以下無電梯),46,"一層,平台/四層",房地(土地+建物),2房1廳1衛,0,住家用,121.5609507,24.9848755,文山區
