"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市南港區成福路１４９巷１０弄７號四樓","111/10/18",1100,39.5,27.82,"公寓(5樓含以下無電梯)",38,"四層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.5886465,25.0417576
"臺北市南港區重陽路５７巷９６號二樓","111/10/16",1870,67.9,27.55,"華廈(10層含以下有電梯)",15,"二層/十層","房地(土地+建物)","2房2廳1衛",0,"住家用",121.5956055,25.0589615
"臺北市南港區研究院路二段６１巷１７號九樓","111/10/14",4700,51.2,91.84,"住宅大樓(11層含以上有電梯)",9,"九層/十八層","房地(土地+建物)+車位","3房2廳2衛",0,"住家用",121.6173242,25.0446571
"臺北市南港區市民大道八段５６９巷１０號","111/10/14",1044,41.7,25.07,"公寓(5樓含以下無電梯)",48,"一層,平台/四層","房地(土地+建物)","3房1廳1衛",0,"住家用",121.6147039,25.0546708
"臺北市南港區重陽路１６６巷１６弄５號二樓","111/10/11",1320,61.9,21.34,"公寓(5樓含以下無電梯)",51,"二層/四層","房地(土地+建物)","2房2廳1衛",0,"住家用",121.6010067,25.0564177
"臺北市南港區南深路３３號七樓之１５","111/10/10",500,50.5,9.91,"華廈(10層含以下有電梯)",24,"七層/十層","房地(土地+建物)","1房1廳1衛",0,"住家用",121.620535,25.03637
"臺北市南港區中坡北路４０巷７號三樓","111/10/10",1600,65.3,24.5,"公寓(5樓含以下無電梯)",45,"三層/四層","房地(土地+建物)","3房1廳1衛",0,"住家用",121.5811648,25.0461982
"臺北市南港區福德街３３９巷３２號","111/10/07",1220,64.4,18.94,"公寓(5樓含以下無電梯)",47,"一層,平台/四層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.5888886,25.0384211
"臺北市南港區南港路一段１３６巷６弄４之１號","111/10/06",1600,63,25.4,"公寓(5樓含以下無電梯)",44,"一層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.6132473,25.0558122
"臺北市南港區園區街１９號五樓之３","111/10/05",3290,64.8,50.74,"住宅大樓(11層含以上有電梯)",16,"五層/十二層","房地(土地+建物)+車位","3房2廳2衛",0,"住家用",121.6109772,25.0589217
"臺北市南港區重陽路２５號九樓","111/10/05",2848,105,32.55,"住宅大樓(11層含以上有電梯)",1,"九層/十四層","房地(土地+建物)+車位","1房1廳1衛",280,"住家用",121.595649,25.055487
"臺北市南港區成福路１６８號三樓之４","111/10/03",1138,55.2,20.62,"華廈(10層含以下有電梯)",27,"三層/六層","房地(土地+建物)","1房1廳1衛",0,"住家用",121.5875729,25.041596
