"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市松山區延壽街４０巷４號三樓","111/10/26",600,50.8,11.8,"華廈(10層含以下有電梯)",31,"三層/六層","房地(土地+建物)","4房2廳2衛","0","住家用",121.5675739,25.0568074
"臺北市松山區延壽街３５６巷４弄４號五樓","111/10/16",1965,71.6,27.45,"公寓(5樓含以下無電梯)",44,"五層/五層","房地(土地+建物)","3房2廳1衛","0","住家用",121.5588295,25.0558244
"臺北市松山區八德路四段６３６號十樓之１","111/10/13",1915,99.2,19.3,"住宅大樓(11層含以上有電梯)",9,"十層/十三層","房地(土地+建物)+車位","1房1廳1衛","0","住家用",121.5746776,25.0498065
"臺北市松山區光復北路６８號十一樓之１","111/10/13",2116,80,26.45,"住宅大樓(11層含以上有電梯)",38,"十一層/十二層","房地(土地+建物)","2房2廳2衛","0","住家用",121.5576487,25.0500905
"臺北市松山區民生東路四段９７巷２弄２５號三樓","111/10/12",2500,77.7,32.19,"公寓(5樓含以下無電梯)",55,"三層/四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.553545,25.058673
"臺北市松山區五常街２８１巷３號四樓","111/10/07",720,31,23.26,"公寓(5樓含以下無電梯)",49,"四層,陽臺/四層","房地(土地+建物)","3房2廳1衛","0","住家用",121.545195,25.0645903
"臺北市松山區八德路三段９９巷８號四樓","111/10/06",3240,78,41.56,"公寓(5樓含以下無電梯)",52,"四層/四層","房地(土地+建物)","5房1廳5衛","0","住家用",121.5534876,25.0488449
"臺北市松山區民生東路五段１５１號九樓之１６","111/10/04",2000,85.5,23.4,"住宅大樓(11層含以上有電梯)",40,"九層/十五層","房地(土地+建物)","2房2廳1衛","0","住家用",121.5621851,25.059107
"臺北市松山區寶清街２１號七樓之４","111/10/01",1530,63,24.28,"住宅大樓(11層含以上有電梯)",33,"七層/十一層","房地(土地+建物)","2房2廳1衛","0","住家用",121.5689631,25.0501746
"臺北市松山區健康路３３５號二樓","111/10/01",2638,62.2,42.41,"住宅大樓(11層含以上有電梯)",23,"二層/十二層","房地(土地+建物)","2房2廳2衛","0","住家用",121.5677907,25.054551
"臺北市松山區民生東路五段１７０號九樓","111/09/30",2900,80.9,35.86,"住宅大樓(11層含以上有電梯)",43,"九層/十五層","房地(土地+建物)","3房2廳2衛","0","住家用",121.56277300000001,25.058306
"臺北市松山區健康路２３號十樓","111/09/29",4370,79.7,54.81,"住宅大樓(11層含以上有電梯)",25,"十層/十三層","房地(土地+建物)+車位","3房2廳2衛","0","住家用",121.5534572,25.0535563
"臺北市松山區三民路２９巷３號十一樓之２","111/09/28",5388,85.9,62.7,"住宅大樓(11層含以上有電梯)",18,"十一層/十三層","房地(土地+建物)+車位","4房2廳2衛","0","住家用",121.5630181,25.0544555
"臺北市松山區延壽街４４０號三樓","111/09/27",3536,88.7,39.88,"公寓(5樓含以下無電梯)",44,"三層/五層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5557835,25.0561539
"臺北市松山區復興北路２０７號十四樓之２","111/09/27",2000,63.6,31.44,"住宅大樓(11層含以上有電梯)",37,"十四層/十四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5444179,25.0562925
"臺北市松山區民生東路五段１４６號四樓","111/09/26",1200,26.5,45.37,"住宅大樓(11層含以上有電梯)",42,"四層/十二層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5620303,25.0584727
"臺北市松山區八德路四段２４５巷３２弄３５號二樓之３","111/09/26",1310,70,18.71,"華廈(10層含以下有電梯)",31,"二層/七層","房地(土地+建物)","1房1廳2衛","0","住家用",121.5634915,25.049847
"臺北市松山區民族東路６８５之１號","111/09/25",3000,66.8,44.91,"華廈(10層含以下有電梯)",41,"一層/七層","房地(土地+建物)","4房2廳2衛","0","住家用",121.5481423,25.0635532
"臺北市松山區敦化北路４巷３１號三樓之４","111/09/24",1550,91.2,16.99,"華廈(10層含以下有電梯)",52,"三層,露台/七層","房地(土地+建物)","2房1廳1衛","0","住家用",121.5455589,25.0500981
