add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市信義區松智路３１巷１０號三樓,111/10/25,2300,90.1,25.54,住宅大樓(11層含以上有電梯),25,三層/十三層,房地(土地+建物),3房2廳2衛,0,住家用,121.5660989,25.0308247
臺北市信義區大道路８９號五樓,111/10/22,2080,56,37.15,公寓(5樓含以下無電梯),40,五層/五層,房地(土地+建物),5房3廳2衛,0,住家用,121.5828189,25.0403575
臺北市信義區基隆路二段３９巷１號二樓,111/10/19,2500,70,35.72,公寓(5樓含以下無電梯),47,"二層,陽臺/四層",房地(土地+建物),4房2廳2衛,0,住家用,121.5589287,25.0313017
臺北市信義區永吉路２７８巷２７弄３６號四樓,111/10/19,1700,70.9,23.98,公寓(5樓含以下無電梯),49,"四層,陽臺/四層",房地(土地+建物),2房2廳2衛,0,住家用,121.5753074,25.0444674
臺北市信義區忠孝東路五段４６９號四樓之９,111/10/18,3378,119,28.39,住宅大樓(11層含以上有電梯),2,四層/二十一層,房地(土地+建物),2房2廳2衛,0,住家用,121.5771271,25.0410335
臺北市信義區虎林街６０巷２５號三樓,111/10/14,2460,64,38.44,公寓(5樓含以下無電梯),50,三層/四層,房地(土地+建物),4房2廳2衛,0,住家用,121.5760671,25.0461311
臺北市信義區基隆路一段３８０巷２０號四樓,111/10/11,1650,85.2,19.37,住宅大樓(11層含以上有電梯),39,四層/十二層,房地(土地+建物),2房1廳1衛,0,住家用,121.5585867,25.0345425
臺北市信義區基隆路一段３８０巷２２號四樓,111/10/11,1400,93.5,14.97,住宅大樓(11層含以上有電梯),39,四層/十二層,房地(土地+建物),0房1廳1衛,0,住家用,121.5589015,25.0346421
臺北市信義區信義路五段１２７號十六樓之９,111/10/08,1608,103.6,15.52,住宅大樓(11層含以上有電梯),16,十六層/十九層,房地(土地+建物),1房1廳1衛,0,住家用,121.5740582,25.0339574
臺北市信義區林口街２６號,111/10/06,3250,162,20.06,公寓(5樓含以下無電梯),50,"一層,平台/四層",房地(土地+建物),0房0廳2衛,0,住家用,121.5794618,25.0375334
臺北市信義區信義路六段８１號五樓,111/10/04,1040,32.8,31.74,公寓(5樓含以下無電梯),42,五層/五層,房地(土地+建物),3房2廳1衛,0,住家用,121.577255,25.035755
臺北市信義區松勤街９號八樓之１４,111/10/04,1850,126.2,14.66,住宅大樓(11層含以上有電梯),15,八層/十九層,房地(土地+建物),1房1廳1衛,0,住家用,121.5611501,25.0323224
臺北市信義區基隆路一段１６３號八樓,111/10/03,3140,80.1,39.23,住宅大樓(11層含以上有電梯),32,八層/十八層,房地(土地+建物),3房1廳1衛,0,住家用,121.5652603,25.0417714
臺北市信義區忠孝東路五段４６９號十八樓之９,111/10/02,5970,131.8,60.14,住宅大樓(11層含以上有電梯),2,十八層/二十一層,房地(土地+建物)+車位,3房2廳2衛,600,住家用,121.5771271,25.0410335
臺北市信義區吳興街３６１巷３號五樓,111/10/02,2188,60.3,36.29,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5669689,25.0261062
臺北市信義區吳興街２８４巷２４弄２４號二樓,111/10/01,1660,56.3,29.46,公寓(5樓含以下無電梯),47,"二層,陽臺/四層",房地(土地+建物),3房2廳2衛,0,住家用,121.5627512,25.0241004
臺北市信義區信義路五段９５號三樓之１,111/10/01,6000,139.3,52.6,住宅大樓(11層含以上有電梯),15,三層/二十七層,房地(土地+建物)+車位,2房2廳2衛,500,住家用,121.5720053,25.0333622
臺北市信義區永吉路２２５巷３２弄２號,111/09/30,921,35.1,26.24,公寓(5樓含以下無電梯),43,一層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.5740152,25.0470743
臺北市信義區林口街５２巷１８號三樓,111/09/29,1490,65.5,22.75,公寓(5樓含以下無電梯),53,三層/四層,房地(土地+建物),2房2廳1衛,0,住家用,121.580111,25.038472
臺北市信義區吳興街２８４巷１４號三樓,111/09/28,1266,65.7,19.27,公寓(5樓含以下無電梯),34,三層/五層,房地(土地+建物),2房2廳1衛,0,住家用,121.5634191,25.0240778
臺北市信義區基隆路一段３６４巷４５號四樓,111/09/28,2800,91.6,30.58,華廈(10層含以下有電梯),40,四層/七層,房地(土地+建物),3房2廳1衛,0,住家用,121.5590633,25.0354443
臺北市信義區基隆路一段３６４巷４５號三樓,111/09/28,2800,91.6,30.58,華廈(10層含以下有電梯),40,三層/七層,房地(土地+建物),2房2廳1衛,0,住家用,121.5590633,25.0354443
臺北市信義區吳興街２８４巷１９弄１號四樓,111/09/25,1968,58.2,33.8,公寓(5樓含以下無電梯),36,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.563529,25.023782
臺北市信義區林口街８０巷１５號四樓,111/09/24,1870,75.8,24.67,公寓(5樓含以下無電梯),50,四層/四層,房地(土地+建物),5房3廳2衛,0,住家用,121.579729,25.0393701
臺北市信義區吳興街６００巷５１弄１６號五樓,111/09/24,1600,58.8,27.21,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.570439,25.0205899
臺北市信義區吳興街６００巷１００弄２０之１號七樓,111/09/23,1700,68.4,24.85,住宅大樓(11層含以上有電梯),9,七層/十一層,房地(土地+建物),3房2廳2衛,0,住家用,121.572319,25.0173035
臺北市信義區基隆路二段８３號六樓,111/09/22,2530,74.4,34.02,住宅大樓(11層含以上有電梯),37,六層/十二層,房地(土地+建物),3房2廳1衛,0,住家用,121.5579706,25.0300709
臺北市信義區吳興街６００巷１１４號三樓,111/09/22,2360,52,45.4,住宅大樓(11層含以上有電梯),29,三層/十一層,房地(土地+建物),4房2廳2衛,0,住家用,121.5718421,25.0182228
臺北市信義區莊敬路３９１巷３弄１號二樓,111/09/20,2170,72,30.13,公寓(5樓含以下無電梯),50,"二層,陽臺/四層",房地(土地+建物),3房2廳2衛,0,住家用,121.5655538,25.0282367
臺北市信義區中坡南路９０號四樓,111/09/20,1900,52.9,35.91,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.585082,25.0411514
臺北市信義區松山路４６５巷１２號二樓,111/09/20,1500,62.3,24.07,公寓(5樓含以下無電梯),50,"二層,陽臺/四層",房地(土地+建物),3房1廳1衛,0,住家用,121.57878,25.039503
臺北市信義區虎林街５９巷４號四樓,111/09/20,107.9,30.1,3.59,公寓(5樓含以下無電梯),53,四層/四層,房地(土地+建物),1房1廳1衛,0,住家用,121.577368,25.0463729
臺北市信義區松勤街９號十六樓之７,111/09/19,2199,140,15.71,住宅大樓(11層含以上有電梯),15,十六層/十九層,房地(土地+建物),1房1廳1衛,0,住家用,121.5611501,25.0323224
臺北市信義區虎林街２０２巷４５號四樓,111/09/19,1500,54.8,27.36,公寓(5樓含以下無電梯),51,四層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.5758454,25.0373934
