add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市大同區延平北路二段２５５號九樓之６,111/10/13,778,66.2,11.75,住宅大樓(11層含以上有電梯),43,九層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5113578,25.0624347
臺北市大同區酒泉街５０巷１９號二樓,111/10/06,690,23.7,29.13,公寓(5樓含以下無電梯),39,二層/五層,房地(土地+建物),3房2廳1衛,0,住家用,121.5166912,25.0708148
臺北市大同區歸綏街１６０巷１號四樓之６,111/10/01,938,69.7,13.45,住宅大樓(11層含以上有電梯),26,四層/十三層,房地(土地+建物),1房1廳1衛,0,住家用,121.5141448,25.0578876
臺北市大同區平陽街２３號七樓,111/09/30,2960,60.7,48.75,住宅大樓(11層含以上有電梯),20,七層/十三層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5174004,25.0550838
臺北市大同區民權西路２４５巷５號三樓,111/09/26,1300,38.1,34.15,公寓(5樓含以下無電梯),49,三層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.5104296,25.06338
臺北市大同區民權西路２６８號六樓之６,111/09/25,1900,76.9,24.71,住宅大樓(11層含以上有電梯),1,六層/十五層,房地(土地+建物),2房2廳1衛,0,住家用,121.512016,25.0627127
臺北市大同區迪化街二段１５８號十一樓,111/09/25,3200,77.6,54.22,住宅大樓(11層含以上有電梯),2,十一層/十五層,房地(土地+建物)+車位,3房2廳2衛,500,住家用,121.5099719,25.0667526
臺北市大同區酒泉街１０巷２７號八樓之３,111/09/24,3750,89.4,48.32,華廈(10層含以下有電梯),10,八層/十層,房地(土地+建物)+車位,3房2廳2衛,300,住家用,121.519508,25.0698702
臺北市大同區重慶北路三段３１３巷４號二樓,111/09/23,1000,42.1,23.74,公寓(5樓含以下無電梯),48,二層/四層,房地(土地+建物),2房1廳2衛,0,住家用,121.5143118,25.0739252
臺北市大同區酒泉街７８號六樓之１,111/09/21,2250,62.4,36.07,華廈(10層含以下有電梯),40,六層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5148745,25.07191
臺北市大同區華亭街１號十一樓之６,111/09/21,2368,83.9,31.91,住宅大樓(11層含以上有電梯),1,十一層/二十一層,房地(土地+建物)+車位,1房1廳1衛,170,住家用,121.5133706,25.0522164
臺北市大同區南京西路６１號十樓之４,111/09/19,1090,84.4,12.91,住宅大樓(11層含以上有電梯),39,十層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5192917,25.0530949
臺北市大同區迪化街二段１２８號二樓,111/09/18,2208,55.3,39.94,華廈(10層含以下有電梯),39,二層/七層,房地(土地+建物),4房2廳3衛,0,住家用,121.5095412,25.0661646
臺北市大同區民權西路２６８號八樓之６,111/09/14,1960,79.3,24.71,住宅大樓(11層含以上有電梯),1,八層/十五層,房地(土地+建物),2房2廳1衛,0,住家用,121.512016,25.0627127
臺北市大同區民權西路１８５巷２弄７號四樓,111/09/13,850,52.2,16.27,公寓(5樓含以下無電梯),45,四層/四層,房地(土地+建物),2房1廳1衛,0,住家用,121.5155044,25.0634779
臺北市大同區民族西路７６巷２弄６號八樓之１,111/09/11,2528,61.1,41.35,華廈(10層含以下有電梯),28,八層/九層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5173371,25.0678947
臺北市大同區承德路三段１０號五樓之４,111/09/09,2830,64.8,43.67,華廈(10層含以下有電梯),45,五層/七層,房地(土地+建物),2房1廳2衛,0,住家用,121.5178736,25.0637888
臺北市大同區民權西路２３７之８號十七樓之２,111/09/08,4590,77.3,68.05,住宅大樓(11層含以上有電梯),3,十七層/十九層,房地(土地+建物)+車位,4房2廳2衛,250,住家用,121.5117242,25.0631256
臺北市大同區民權西路３００號十三樓之６,111/09/08,3980,72.2,55.1,住宅大樓(11層含以上有電梯),5,十三層/十三層,房地(土地+建物),3房2廳3衛,0,住家用,121.5102628,25.0628539
臺北市大同區赤峰街４４巷１９之３號,111/09/08,1120,82.1,13.65,公寓(5樓含以下無電梯),52,"四層,露台/四層",房地(土地+建物),3房2廳2衛,0,住家用,121.5193035,25.0571431
臺北市大同區五原路１９號七樓之５,111/09/07,1135,60.5,18.76,住宅大樓(11層含以上有電梯),13,七層/十四層,房地(土地+建物)+車位,1房1廳1衛,0,住家用,121.517332,25.0566929
臺北市大同區承德路三段１９０巷８號二樓,111/09/04,1430,65.4,21.88,公寓(5樓含以下無電梯),50,二層/四層,房地(土地+建物),3房2廳1衛,0,住家用,121.5178272,25.0696471
臺北市大同區民權西路１６０巷１８弄６號六樓之６,111/09/04,3100,84,43.32,住宅大樓(11層含以上有電梯),1,六層/十八層,房地(土地+建物)+車位,2房2廳2衛,280,住家用,121.5154648,25.0621751
臺北市大同區寧夏路３２號六樓之２,111/09/03,940,44.6,21.09,住宅大樓(11層含以上有電梯),40,六層/十一層,房地(土地+建物),3房1廳1衛,0,住家用,121.5151416,25.0559543
臺北市大同區昌吉街９６號三樓之１,111/09/02,620,68.3,9.08,華廈(10層含以下有電梯),31,三層/七層,房地(土地+建物),1房1廳1衛,0,住家用,121.5151341,25.0658039
臺北市大同區民權西路２６８號十一樓之２,111/09/02,1090,88.5,12.31,住宅大樓(11層含以上有電梯),1,十一層/十五層,房地(土地+建物),0房0廳1衛,0,住家用,121.512016,25.0627127
臺北市大同區重慶北路二段２２５號四樓,111/09/01,135.6,61.9,2.19,住宅大樓(11層含以上有電梯),1,四層/十三層,房地(土地+建物),2房1廳1衛,0,住家用,121.5137701,25.0615804
臺北市大同區民權西路２６８號四樓之６,111/08/31,3050,86.8,40.89,住宅大樓(11層含以上有電梯),1,四層/十五層,房地(土地+建物)+車位,3房2廳2衛,160,住家用,121.512016,25.0627127
臺北市大同區蘭州街１０號十樓,111/08/31,2350,52.4,44.87,華廈(10層含以下有電梯),37,十層/十層,房地(土地+建物),4房2廳2衛,0,住家用,121.5141546,25.0619767
臺北市大同區民權西路２６８號五樓之７,111/08/30,3193,91.1,40.89,住宅大樓(11層含以上有電梯),1,五層/十五層,房地(土地+建物)+車位,3房2廳2衛,160,住家用,121.512016,25.0627127
臺北市大同區延平北路四段１７９巷１３號二樓,111/08/29,1320,49.4,26.7,公寓(5樓含以下無電梯),36,二層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5123101,25.0736872
臺北市大同區南京西路３１６號十二樓之７,111/08/28,886,59,15.03,住宅大樓(11層含以上有電梯),42,十二層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5130161,25.0538611
臺北市大同區迪化街二段２０１之１號二樓,111/08/25,1220,50.8,24.03,公寓(5樓含以下無電梯),37,二層/五層,房地(土地+建物),1房2廳1衛,0,住家用,121.5116149,25.069709
臺北市大同區延平北路一段６６巷１６號五樓之２,111/08/23,1550,59.8,25.93,華廈(10層含以下有電梯),9,五層/七層,房地(土地+建物)+車位,1房1廳1衛,0,住家用,121.5113796,25.0514727
臺北市大同區迪化街二段２１４巷６號三樓,111/08/20,1212,50.5,24.01,公寓(5樓含以下無電梯),44,三層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5101186,25.0683775
臺北市大同區環河北路二段３７９號二樓,111/08/20,1285,34.6,37.09,公寓(5樓含以下無電梯),41,二層/五層,房地(土地+建物),4房2廳2衛,0,住家用,121.509337,25.077463
臺北市大同區民權西路１６０巷１８弄８號十六樓之２,111/08/19,610,48.9,12.47,住宅大樓(11層含以上有電梯),1,十六層/十八層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.515429,25.0621768
臺北市大同區迪化街二段１７２巷２８號八樓之１,111/08/16,1800,67.6,25.87,住宅大樓(11層含以上有電梯),21,八層/十一層,房地(土地+建物)+車位,2房1廳1衛,120,住家用,121.509418,25.067108
臺北市大同區承德路一段７７巷１８號二樓,111/08/14,700,67.1,10.43,公寓(5樓含以下無電梯),53,二層/四層,房地(土地+建物),2房1廳1衛,0,住家用,121.5180232,25.0520832
臺北市大同區寧夏路２０號五樓之１,111/08/13,1600,68.2,23.44,住宅大樓(11層含以上有電梯),11,五層/十三層,房地(土地+建物)+車位,1房1廳1衛,0,住家用,121.5148473,25.0549352
臺北市大同區雙連街７５號二樓之１,111/08/11,5700,80.3,70.96,住宅大樓(11層含以上有電梯),5,二層/十五層,房地(土地+建物)+車位,4房2廳2衛,0,住家用,121.5190353,25.0597616
臺北市大同區民族西路２６９號六樓、２６９號六樓之１,111/08/10,2730,56.5,48.33,華廈(10層含以下有電梯),39,六層/七層,房地(土地+建物),4房2廳2衛,0,住家用,121.5111961,25.0688009
臺北市大同區華亭街１號七樓之３,111/08/10,2234,82.1,27.2,住宅大樓(11層含以上有電梯),1,七層/二十一層,房地(土地+建物),1房2廳1衛,0,住家用,121.5133706,25.0522164
臺北市大同區南京西路３１６號九樓之１１,111/08/07,800,64.3,12.44,住宅大樓(11層含以上有電梯),42,九層/十二層,房地(土地+建物),1房1廳1衛,0,住家用,121.5130161,25.0538611
臺北市大同區大龍街１０２號五樓之４,111/08/07,1200,68.7,17.48,公寓(5樓含以下無電梯),47,五層/五層,房地(土地+建物),2房2廳1衛,0,住家用,121.5158689,25.0666387
臺北市大同區重慶北路三段８３號二樓之１,111/08/01,5700,64.7,88.05,住宅大樓(11層含以上有電梯),13,二層/十五層,房地(土地+建物)+車位,5房2廳2衛,0,住家用,121.5139059,25.0667907
臺北市大同區重慶北路三段２３６巷５０號三樓,111/07/30,688,24.4,28.24,公寓(5樓含以下無電梯),43,三層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5117292,25.0705585
臺北市大同區寧夏路１１號十一樓之８,111/07/29,900,63.1,14.27,住宅大樓(11層含以上有電梯),26,十一層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5150301,25.0546731
臺北市大同區甘州街１０號七樓,111/07/29,2670,60.4,44.17,華廈(10層含以下有電梯),31,七層/九層,房地(土地+建物),3房2廳2衛,0,住家用,121.5128055,25.0584369
臺北市大同區萬全街１號二樓之５,111/07/27,4758,100.5,59.11,住宅大樓(11層含以上有電梯),7,二層/十五層,房地(土地+建物)+車位,3房2廳2衛,350,住家用,121.5203655,25.0588024
臺北市大同區敦煌路８０巷１號八樓之３,111/07/27,2430,65,37.39,住宅大樓(11層含以上有電梯),15,八層/十二層,房地(土地+建物)+車位,2房2廳1衛,0,住家用,121.5175497,25.0750439
臺北市大同區昌吉街３２號三樓,111/07/26,5580,78.2,93.22,住宅大樓(11層含以上有電梯),11,三層/十四層,房地(土地+建物)+車位,4房2廳2衛,500,住家用,121.5170972,25.0657816
臺北市大同區迪化街二段１７２巷２８號七樓之１,111/07/25,1760,68,25.87,住宅大樓(11層含以上有電梯),21,七層/十一層,房地(土地+建物)+車位,3房2廳1衛,0,住家用,121.509418,25.067108
臺北市大同區南京西路１５５巷３６之２號三樓,111/07/25,126,26.7,4.72,公寓(5樓含以下無電梯),50,三層/四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5133171,25.0549489
臺北市大同區民權西路１４４巷５弄５號十七樓,111/07/25,2450,65.6,37.32,住宅大樓(11層含以上有電梯),32,十七層/十七層,房地(土地+建物),1房2廳1衛,0,住家用,121.5161357,25.0623664
臺北市大同區民權西路１６０巷２６弄１號十一樓,111/07/25,3936,61.7,76.11,住宅大樓(11層含以上有電梯),1,十一層/十八層,房地(土地+建物)+車位,3房2廳2衛,442,住家用,121.5157524,25.0616837
臺北市大同區民權西路１６０巷２６弄１號十一樓之１,111/07/25,3716,61.8,66.31,住宅大樓(11層含以上有電梯),1,十一層/十八層,房地(土地+建物)+車位,3房2廳2衛,221,住家用,121.5157524,25.0616837
臺北市大同區五原路１９號十四樓之９,111/07/24,950,84.9,11.18,住宅大樓(11層含以上有電梯),13,十四層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.517332,25.0566929
臺北市大同區民權西路１６０巷１８弄６號三樓之６,111/07/24,2985,80.6,43.32,住宅大樓(11層含以上有電梯),1,三層/十八層,房地(土地+建物)+車位,2房2廳2衛,280,住家用,121.5154648,25.0621751
臺北市大同區萬全街１０３巷１２號四樓,111/07/23,1620,44.8,36.19,公寓(5樓含以下無電梯),29,四層/五層,房地(土地+建物),3房2廳1衛,0,住家用,121.516511,25.058163
臺北市大同區昌吉街１１０巷２１號三樓,111/07/22,240,9,26.64,公寓(5樓含以下無電梯),46,三層/四層,建物,2房1廳1衛,0,住家用,121.5147103,25.0651816
臺北市大同區民權西路１４４巷５弄７號十六樓,111/07/21,2730,67.6,50.57,住宅大樓(11層含以上有電梯),32,十六層/十七層,房地(土地+建物)+車位,3房2廳2衛,250,住家用,121.5161393,25.062294
臺北市大同區南京西路１８５巷７號五樓之６,111/07/21,720,51.4,14.02,華廈(10層含以下有電梯),41,五層/六層,房地(土地+建物),1房1廳1衛,0,住家用,121.5123469,25.0545877
臺北市大同區民權西路１６０巷１８弄１７號二樓,111/07/21,380,20.1,18.89,公寓(5樓含以下無電梯),45,二層/四層,房地(土地+建物),2房1廳1衛,0,住家用,121.5150675,25.0622582
